Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,D1_Score,D9_Score,D10_Score,D9_Sign,D10_Sign,D9_Vargottama,D10_Vargottama,D10_Deity,D10_Career,Triple_Chart_Effect,Astrological_Significance
2024-04-10,2024-10-05,MD-AD-PD,Saturn,Saturn,Venus,Venus,Saturn,5.35,9.5,2,1.0,0.18333333333333332,6.24,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Venus sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2024-10-05,2024-11-27,MD-AD-PD,Saturn,Saturn,Sun,Sun,Saturn,4.97,7.63,1,1.0,0.14666666666666667,5.22,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Sun sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2024-11-27,2025-02-24,MD-AD-PD,Saturn,Saturn,Moon,Moon,Saturn,4.99,8.1,0,0.0,0.22333333333333333,5.27,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Moon sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2025-02-24,2025-04-27,MD-AD-PD,Saturn,Saturn,Mars,Mars,Saturn,4.94,7.57,1,1.0,0.10666666666666666,5.13,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Mars sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2025-04-27,2025-10-04,MD-AD-PD,Saturn,Saturn,Rahu,Rahu,Saturn,4.48,3.0,1,1.0,0.5333333333333333,3.9,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2025-10-04,2026-02-24,MD-AD-PD,Saturn,Saturn,Jupiter,Jupiter,Saturn,3.81,0.83,0,0.0,0.10666666666666666,2.09,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2026-03-11,2026-07-25,MD-AD-PD,Saturn,Saturn,Mercury,Mercury,Saturn,4.27,3.0,1,1.0,0.10666666666666666,3.32,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2026-07-25,2026-09-18,MD-AD-PD,Saturn,Mercury,Ketu,Ketu,Mercury,4.19,2.81,0,0.0,0.15,3.11,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2026-09-18,2027-02-24,MD-AD-PD,Saturn,Mercury,Venus,Venus,Mercury,4.78,5.21,2,1.0,0.14666666666666667,4.69,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Venus sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2027-02-24,2027-04-13,MD-AD-PD,Saturn,Mercury,Sun,Sun,Mercury,3.94,1.53,0,0.0,0.10666666666666666,2.43,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Sun sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2027-04-13,2027-07-02,MD-AD-PD,Saturn,Mercury,Moon,Moon,Mercury,4.09,1.21,0,0.0,0.3,2.85,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Moon sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2027-07-02,2027-08-27,MD-AD-PD,Saturn,Mercury,Mars,Mars,Mercury,4.46,2.75,0,0.0,0.5733333333333334,3.85,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic); Mars sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2027-08-27,2028-01-17,MD-AD-PD,Saturn,Mercury,Rahu,Rahu,Mercury,4.25,1.32,0,0.0,0.61875,3.28,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic); Rahu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2028-01-17,2028-05-23,MD-AD-PD,Saturn,Mercury,Jupiter,Jupiter,Mercury,4.03,1.3,0,0.0,0.18333333333333332,2.68,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2028-05-23,2028-10-21,MD-AD-PD,Saturn,Mercury,Saturn,Saturn,Mercury,4.24,0.44,1,1.0,0.5333333333333333,3.25,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic); Saturn sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2028-11-04,2028-11-27,MD-AD-PD,Saturn,Mercury,Ketu,Ketu,Mercury,4.18,1.39,0,0.0,0.5,3.09,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic); Ketu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2028-11-27,2029-02-01,MD-AD-PD,Saturn,Ketu,Venus,Venus,Ketu,4.08,1.98,1,1.0,0.22333333333333333,2.8,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-02-01,2029-02-20,MD-AD-PD,Saturn,Ketu,Sun,Sun,Ketu,3.73,0.39,0,0.0,0.18333333333333332,1.87,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-02-20,2029-03-25,MD-AD-PD,Saturn,Ketu,Moon,Moon,Ketu,3.7,0.17,0,0.0,0.06666666666666667,1.77,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-03-25,2029-04-17,MD-AD-PD,Saturn,Ketu,Mars,Mars,Ketu,4.1,0.51,1,1.0,0.4625,2.87,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic); Mars sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-04-17,2029-06-15,MD-AD-PD,Saturn,Ketu,Rahu,Rahu,Ketu,4.37,1.04,0,0.0,1.0,3.58,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong luminaries support; Ketu sub-period (malefic); Rahu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-06-15,2029-08-07,MD-AD-PD,Saturn,Ketu,Jupiter,Jupiter,Ketu,3.95,0.51,0,0.0,0.38583333333333336,2.47,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-08-07,2029-10-08,MD-AD-PD,Saturn,Ketu,Saturn,Saturn,Ketu,3.82,0.44,0,0.0,0.3,2.1,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Saturn sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-10-08,2029-12-03,MD-AD-PD,Saturn,Ketu,Mercury,Mercury,Ketu,4.25,2.44,2,1.0,0.14666666666666667,3.28,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Mercury sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-12-08,2030-06-14,MD-AD-PD,Saturn,Ketu,Venus,Venus,Ketu,4.01,0.7,1,1.0,0.18333333333333332,2.62,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2030-06-14,2030-08-09,MD-AD-PD,Saturn,Venus,Sun,Sun,Venus,4.14,3.39,0,0.0,0.03333333333333333,2.97,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2030-08-09,2030-11-10,MD-AD-PD,Saturn,Venus,Moon,Moon,Venus,4.27,2.9,0,0.0,0.22333333333333333,3.32,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Moon sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2030-11-10,2031-01-15,MD-AD-PD,Saturn,Venus,Mars,Mars,Venus,4.8,4.43,1,1.0,0.5,4.76,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Mars sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2031-01-15,2031-07-03,MD-AD-PD,Saturn,Venus,Rahu,Rahu,Venus,3.94,1.17,0,0.0,0.18333333333333332,2.44,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Rahu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2031-07-03,2031-11-29,MD-AD-PD,Saturn,Venus,Jupiter,Jupiter,Venus,4.26,3.18,0,0.0,0.14666666666666667,3.28,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2031-11-29,2032-05-25,MD-AD-PD,Saturn,Venus,Saturn,Saturn,Venus,4.99,3.84,2,1.0,0.65,5.27,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Venus sub-period (benefic); Saturn sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2032-05-25,2032-10-31,MD-AD-PD,Saturn,Venus,Mercury,Mercury,Venus,4.19,2.9,0,0.0,0.03333333333333333,3.12,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Mercury sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2032-10-31,2033-01-05,MD-AD-PD,Saturn,Venus,Ketu,Ketu,Venus,4.02,1.93,0,0.0,0.15,2.65,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-01-21,2033-02-07,MD-AD-PD,Saturn,Venus,Sun,Sun,Venus,3.95,1.24,0,0.0,0.18333333333333332,2.46,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-02-07,2033-03-07,MD-AD-PD,Saturn,Sun,Moon,Moon,Sun,4.56,2.83,2,1.0,0.5333333333333333,4.11,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Moon sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-03-07,2033-03-27,MD-AD-PD,Saturn,Sun,Mars,Mars,Sun,4.39,2.08,2,1.0,0.5333333333333333,3.66,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Mars sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-03-27,2033-05-17,MD-AD-PD,Saturn,Sun,Rahu,Rahu,Sun,3.97,2.19,0,0.0,0.18333333333333332,2.52,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Rahu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-05-17,2033-06-30,MD-AD-PD,Saturn,Sun,Jupiter,Jupiter,Sun,4.24,2.77,1,1.0,0.10666666666666666,3.23,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Jupiter sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-06-30,2033-08-23,MD-AD-PD,Saturn,Sun,Saturn,Saturn,Sun,3.87,1.23,0,0.0,0.22333333333333333,2.25,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Saturn sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-08-23,2033-10-10,MD-AD-PD,Saturn,Sun,Mercury,Mercury,Sun,4.91,5.31,0,0.0,0.78125,5.05,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in moderate strength; strong luminaries support; Sun sub-period (malefic); Mercury sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-10-10,2033-10-29,MD-AD-PD,Saturn,Sun,Ketu,Ketu,Sun,4.13,2.51,1,1.0,0.10666666666666666,2.96,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Ketu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-10-29,2033-12-24,MD-AD-PD,Saturn,Sun,Venus,Venus,Sun,3.78,0.73,0,0.0,0.07333333333333333,1.99,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Venus sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
