Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,D1_Score,D9_Score,D10_Score,D9_Sign,D10_Sign,D9_Vargottama,D10_Vargottama,D10_Deity,D10_Career,Triple_Chart_Effect,Astrological_Significance
2042-03-24,2044-08-07,MD-AD,Mercury,Mercury,,Mercury,Mercury,3.44,0.0,1,1.0,0.18333333333333332,3.13,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; D9 own sign Gemini; D9 significantly strengthens long-term prospects
2044-08-07,2045-07-30,MD-AD,Mercury,Ketu,,Ketu,Mercury,3.87,3.98,1,1.0,0.18333333333333332,4.28,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2045-07-30,2048-05-15,MD-AD,Mercury,Venus,,Venus,Mercury,3.36,0.67,0,0.0,0.18333333333333332,2.92,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2048-05-15,2049-03-17,MD-AD,Mercury,Sun,,Sun,Mercury,3.32,1.13,0,0.0,0.18333333333333332,2.8,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2049-03-17,2050-08-09,MD-AD,Mercury,Moon,,Moon,Mercury,3.86,2.54,1,1.0,0.3,4.25,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2050-08-09,2051-08-01,MD-AD,Mercury,Mars,,Mars,Mercury,4.2,6.08,2,1.0,0.18333333333333332,5.17,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic); D9 own sign Gemini
2051-08-01,2054-02-04,MD-AD,Mercury,Rahu,,Rahu,Mercury,3.96,2.35,1,1.0,0.65,4.53,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2054-02-04,2056-04-30,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.46,1.79,0,0.0,0.10666666666666666,3.18,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2056-04-30,2058-12-25,MD-AD,Mercury,Saturn,,Saturn,Mercury,3.78,3.0,0,0.0,0.5,4.05,6.25,0.67,Gemini,Cancer,No,No,Rakshasa,"Competition, Politics, Risk-taking, Business warfare",D9-Led | Sell,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-period (malefic); D9 own sign Gemini; D9 significantly strengthens long-term prospects
2059-03-24,2059-08-18,MD-AD,Ketu,Ketu,,Ketu,Ketu,2.92,10.0,2,1.0,0.4625,6.74,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",D1-Led | Strong Sell,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; D9 in Virgo; D9 indicates underlying challenges
2059-08-18,2060-10-11,MD-AD,Ketu,Venus,,Venus,Ketu,1.51,1.13,0,0.0,0.46875,2.94,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",D1-Led | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic); D9 in Virgo; D9 indicates underlying challenges
2060-10-11,2061-02-14,MD-AD,Ketu,Sun,,Sun,Ketu,1.17,1.23,0,0.0,0.10666666666666666,2.04,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",Balanced | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); D9 in Virgo
2061-02-14,2061-09-12,MD-AD,Ketu,Moon,,Moon,Ketu,1.2,1.03,0,0.0,0.03333333333333333,2.12,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",Balanced | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); D9 in Virgo
2061-09-12,2062-02-06,MD-AD,Ketu,Mars,,Mars,Ketu,2.02,2.11,3,1.0,0.61875,4.31,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",D1-Led | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Mars sub-period (malefic); D9 in Virgo; D9 indicates underlying challenges
2062-02-06,2063-02-19,MD-AD,Ketu,Rahu,,Rahu,Ketu,1.24,0.43,1,1.0,0.10666666666666666,2.21,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",Balanced | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); D9 in Virgo; D9 indicates underlying challenges
2063-02-19,2064-01-21,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,1.36,0.91,1,1.0,0.03333333333333333,2.53,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",Balanced | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic); D9 in Virgo; D9 indicates underlying challenges
2064-01-21,2065-02-23,MD-AD,Ketu,Saturn,,Saturn,Ketu,1.06,0.57,0,0.0,0.06666666666666667,1.73,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",Balanced | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); D9 in Virgo
2065-02-23,2066-02-15,MD-AD,Ketu,Mercury,,Mercury,Ketu,1.64,2.3,1,1.0,0.18333333333333332,3.3,0.67,0.67,Virgo,Virgo,No,No,Ananth,"Long-term stability, Civil service, Preservation",D1-Led | Strong Sell,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); D9 in Virgo; D9 indicates underlying challenges
2066-03-24,2069-07-06,MD-AD,Venus,Venus,,Venus,Venus,3.52,3.0,0,0.0,0.18333333333333332,3.76,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2069-07-06,2070-07-01,MD-AD,Venus,Sun,,Sun,Venus,3.12,1.13,0,0.0,0.10666666666666666,2.67,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2070-07-01,2072-02-21,MD-AD,Venus,Moon,,Moon,Venus,3.92,5.28,0,0.0,0.14666666666666667,4.82,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Moon sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2072-02-21,2073-04-16,MD-AD,Venus,Mars,,Mars,Venus,3.6,3.52,1,1.0,0.10666666666666666,3.98,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2073-04-16,2076-03-31,MD-AD,Venus,Rahu,,Rahu,Venus,4.03,3.18,1,1.0,0.8125,5.13,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Rahu sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2076-03-31,2078-11-16,MD-AD,Venus,Jupiter,,Jupiter,Venus,3.84,4.47,0,0.0,0.18333333333333332,4.61,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2078-11-16,2081-12-30,MD-AD,Venus,Saturn,,Saturn,Venus,3.25,2.3,0,0.0,0.07333333333333333,3.03,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2081-12-30,2084-10-15,MD-AD,Venus,Mercury,,Mercury,Venus,3.55,3.0,0,0.0,0.22333333333333333,3.83,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2084-10-15,2085-12-09,MD-AD,Venus,Ketu,,Ketu,Venus,3.12,1.13,0,0.0,0.10666666666666666,2.66,0.83,6.25,Leo,Taurus,Yes,No,Agni,"Energy, Innovation, Management, Passionate careers",D10-Led | Sell,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 in Leo; D9 indicates underlying challenges
2086-03-24,2086-07-10,MD-AD,Sun,Sun,,Sun,Sun,4.38,1.47,1,1.0,0.4625,3.22,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2086-07-10,2087-01-06,MD-AD,Sun,Moon,,Moon,Sun,4.47,2.54,1,1.0,0.22333333333333333,3.46,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2087-01-06,2087-05-12,MD-AD,Sun,Mars,,Mars,Sun,4.25,3.18,0,0.0,0.18333333333333332,2.88,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mars sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2087-05-12,2088-03-31,MD-AD,Sun,Rahu,,Rahu,Sun,5.19,7.0,0,0.0,0.65,5.41,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Rahu sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2088-03-31,2089-01-13,MD-AD,Sun,Jupiter,,Jupiter,Sun,4.44,1.13,1,1.0,0.4625,3.38,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2089-01-13,2089-12-22,MD-AD,Sun,Saturn,,Saturn,Sun,4.24,3.08,0,0.0,0.18333333333333332,2.84,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2089-12-22,2090-10-24,MD-AD,Sun,Mercury,,Mercury,Sun,4.45,3.28,0,0.0,0.3,3.41,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mercury sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2090-10-24,2091-02-27,MD-AD,Sun,Ketu,,Ketu,Sun,3.78,0.2,0,0.0,0.07333333333333333,1.61,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Ketu sub-period (malefic); D9 in Aquarius; D9 reveals hidden potential
2091-02-27,2092-02-22,MD-AD,Sun,Venus,,Venus,Sun,4.36,1.47,0,0.0,0.5333333333333333,3.17,0.67,10.0,Aquarius,Aries,No,No,Varuna,"Creativity, Arbitration, Fluid careers, Cooperation",D10-Led | Sell | Career-Excel,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Venus sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges; D9 reveals hidden potential
2092-03-24,2093-01-18,MD-AD,Moon,Moon,,Moon,Moon,3.78,1.47,0,0.0,0.3,3.42,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; D9 own sign Cancer; D9 significantly strengthens long-term prospects
2093-01-18,2093-08-16,MD-AD,Moon,Mars,,Mars,Moon,3.6,1.47,0,0.0,0.18333333333333332,2.92,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2093-08-16,2095-02-07,MD-AD,Moon,Rahu,,Rahu,Moon,4.01,3.98,0,0.0,0.3,4.03,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2095-02-07,2096-06-01,MD-AD,Moon,Jupiter,,Jupiter,Moon,3.8,2.54,0,0.0,0.10666666666666666,3.45,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2096-06-01,2097-12-23,MD-AD,Moon,Saturn,,Saturn,Moon,3.77,1.47,1,1.0,0.18333333333333332,3.38,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2097-12-23,2099-05-17,MD-AD,Moon,Mercury,,Mercury,Moon,3.92,1.23,1,1.0,0.3,3.78,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2099-05-17,2099-12-13,MD-AD,Moon,Ketu,,Ketu,Moon,3.48,1.13,0,0.0,0.06666666666666667,2.59,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2099-12-13,2101-08-05,MD-AD,Moon,Venus,,Venus,Moon,3.99,3.42,0,0.0,0.22333333333333333,3.98,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2101-08-05,2102-02-01,MD-AD,Moon,Sun,,Sun,Moon,3.61,0.44,1,1.0,0.15,2.94,6.25,1.47,Cancer,Sagittarius,No,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); D9 own sign Cancer; D9 significantly strengthens long-term prospects
2102-03-25,2102-08-19,MD-AD,Mars,Mars,,Mars,Mars,7.61,1.47,1,1.0,0.65,3.55,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects; D9 reveals hidden potential
2102-08-19,2103-09-01,MD-AD,Mars,Rahu,,Rahu,Mars,7.55,1.55,1,1.0,0.5420833333333334,3.39,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects; D9 reveals hidden potential
2103-09-01,2104-08-02,MD-AD,Mars,Jupiter,,Jupiter,Mars,7.9,3.84,1,1.0,0.61875,4.32,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects; D9 reveals hidden potential
2104-08-02,2105-09-05,MD-AD,Mars,Saturn,,Saturn,Mars,7.11,1.47,0,0.0,0.15,2.2,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects
2105-09-05,2106-08-28,MD-AD,Mars,Mercury,,Mercury,Mars,7.76,2.35,0,0.0,0.78125,3.94,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong luminaries support; Mercury sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects; D9 reveals hidden potential
2106-08-28,2107-01-22,MD-AD,Mars,Ketu,,Ketu,Mars,7.57,2.54,0,0.0,0.61875,3.44,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects; D9 reveals hidden potential
2107-01-22,2108-03-17,MD-AD,Mars,Venus,,Venus,Mars,8.16,7.9,0,0.0,0.10666666666666666,5.04,10.0,10.0,Aries,Aries,Yes,Yes,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Buy | Career-Excel,Mars dasha (malefic); lord in strong; challenging luminaries configuration; Venus sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Aries; D9 significantly strengthens long-term prospects; D9 reveals hidden potential
